Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-08-12,16:00:00,1935.73,1939.12,1932.82,1938.02,0,0
2014-08-12,17:00:00,1938.29,1939.65,1933.16,1933.89,0,0
2014-08-12,18:00:00,1933.73,1933.73,1929.44,1931.8,0,0
2014-08-12,19:00:00,1931.5,1935.71,1929.8,1934.05,0,0
2014-08-12,20:00:00,1934.07,1935.42,1931.72,1932.85,0,0
2014-08-12,21:00:00,1932.92,1933.05,1928.29,1930.36,0,0
2014-08-12,22:00:00,1930.39,1935.3,1930.39,1933.75,0,0
2014-08-13,16:00:00,1935.6,1943.19,1935.6,1938.71,0,0
2014-08-13,17:00:00,1938.68,1942.54,1938.05,1942.47,0,0
2014-08-13,18:00:00,1942.49,1948.41,1942.49,1946.33,0,0
2014-08-13,19:00:00,1946.13,1946.83,1944.55,1946.26,0,0
2014-08-13,20:00:00,1946.32,1947.44,1945.7,1946.76,0,0
2014-08-13,21:00:00,1946.78,1946.81,1944.24,1945.31,0,0
2014-08-13,22:00:00,1945.32,1946.96,1944.51,1946.72,0,0
2014-08-14,16:00:00,1947.41,1951.06,1947.41,1950.19,0,0
2014-08-14,17:00:00,1950.23,1952.56,1948.02,1950.44,0,0
2014-08-14,18:00:00,1950.43,1953.06,1950.39,1952.64,0,0
2014-08-14,19:00:00,1952.72,1953.27,1951.9,1952.78,0,0
2014-08-14,20:00:00,1952.8,1954.81,1952.17,1952.73,0,0
2014-08-14,21:00:00,1952.75,1953.84,1952.12,1953.44,0,0
2014-08-14,22:00:00,1953.45,1955.23,1953.45,1955.18,0,0
2014-08-15,16:00:00,1958.87,1962.58,1958.77,1961.84,0,0
2014-08-15,17:00:00,1961.82,1964.04,1946.06,1951.4,0,0
2014-08-15,18:00:00,1951.45,1954.83,1941.5,1944.68,0,0
2014-08-15,19:00:00,1944.49,1951.21,1942.69,1948.89,0,0
2014-08-15,20:00:00,1948.9,1950.25,1946.32,1947.04,0,0
2014-08-15,21:00:00,1946.96,1955.03,1946.96,1952.96,0,0
2014-08-15,22:00:00,1952.97,1956.26,1951.65,1955.06,0,0
2014-08-18,16:00:00,1958.36,1968.71,1958.36,1968.71,0,0
2014-08-18,17:00:00,1968.7,1971.51,1968.07,1970.99,0,0
2014-08-18,18:00:00,1971,1971.32,1969.82,1970.8,0,0
2014-08-18,19:00:00,1970.82,1971.99,1970.8,1970.8,0,0
2014-08-18,20:00:00,1970.68,1971.08,1969.79,1970.48,0,0
2014-08-18,21:00:00,1970.49,1970.58,1969.08,1969.78,0,0
2014-08-18,22:00:00,1969.76,1971.74,1969.08,1971.74,0,0
2014-08-19,16:00:00,1972.73,1977.54,1972.73,1977.31,0,0
2014-08-19,17:00:00,1977.35,1979.51,1976.26,1979.24,0,0
2014-08-19,18:00:00,1979.25,1979.52,1978.35,1979.16,0,0
2014-08-19,19:00:00,1979.17,1980.73,1978.9,1980.25,0,0
2014-08-19,20:00:00,1980.27,1980.81,1979.96,1980.36,0,0
2014-08-19,21:00:00,1980.35,1982.34,1980.29,1982.01,0,0
2014-08-19,22:00:00,1982.02,1982.57,1981.2,1981.6,0,0
2014-08-20,16:00:00,1980.46,1981.46,1977.68,1980.62,0,0
2014-08-20,17:00:00,1980.85,1983.3,1980.24,1983.02,0,0
2014-08-20,18:00:00,1983.1,1984.22,1982.77,1983.87,0,0
2014-08-20,19:00:00,1983.83,1983.83,1983.29,1983.69,0,0
2014-08-20,20:00:00,1983.71,1985.82,1983.62,1984.53,0,0
2014-08-20,21:00:00,1984.42,1986.58,1979.85,1986.54,0,0
2014-08-20,22:00:00,1986.58,1988.57,1986.27,1986.51,0,0
2014-08-21,16:00:00,1986.82,1991.25,1986.82,1990.73,0,0
2014-08-21,17:00:00,1991.59,1992.35,1986.98,1991.65,0,0
2014-08-21,18:00:00,1991.61,1992.65,1990.55,1990.55,0,0
2014-08-21,19:00:00,1990.56,1991.78,1990.52,1991.45,0,0
2014-08-21,20:00:00,1991.46,1993.53,1991.46,1992.99,0,0
2014-08-21,21:00:00,1992.93,1994.1,1992.36,1993.92,0,0
2014-08-21,22:00:00,1993.93,1994.76,1991.91,1992.37,0,0
2014-08-22,16:00:00,1992.6,1992.6,1987.3,1990.01,0,0
2014-08-22,17:00:00,1990.79,1993.54,1985.7,1986.11,0,0
2014-08-22,18:00:00,1985.92,1990.44,1984.76,1989.41,0,0
2014-08-22,19:00:00,1989.47,1992.25,1988.81,1991.31,0,0
2014-08-22,20:00:00,1991.3,1992.28,1990.81,1991.31,0,0
2014-08-22,21:00:00,1991.3,1991.34,1987.81,1989.69,0,0
2014-08-22,22:00:00,1989.68,1992.09,1987.6,1988.4,0,0
2014-08-25,16:00:00,1991.74,1999.7,1991.74,1999.33,0,0
2014-08-25,17:00:00,1999.51,2001.73,1998.28,2001.43,0,0
2014-08-25,18:00:00,2001.44,2001.95,2000.67,2001.24,0,0
2014-08-25,19:00:00,2001.22,2001.36,1996.56,1997.07,0,0
2014-08-25,20:00:00,1997.02,1999.14,1995.76,1998.5,0,0
2014-08-25,21:00:00,1998.46,1998.69,1996.91,1998.31,0,0
2014-08-25,22:00:00,1998.3,1998.9,1997.59,1997.92,0,0
2014-08-26,16:00:00,1998.59,2002.42,1998.59,2001.68,0,0
2014-08-26,17:00:00,2001.72,2004.28,2000.12,2004.28,0,0
2014-08-26,18:00:00,2004.58,2005.04,2002.58,2002.6,0,0
2014-08-26,19:00:00,2002.63,2003.17,2001.19,2001.3,0,0
2014-08-26,20:00:00,2001.31,2002.31,2000.3,2001.85,0,0
2014-08-26,21:00:00,2001.86,2002.41,2001.4,2002.28,0,0
2014-08-26,22:00:00,2002.27,2002.32,1999.75,2000.02,0,0
2014-08-27,16:00:00,2000.54,2002.14,1998.37,1998.52,0,0
2014-08-27,17:00:00,1998.46,2000.22,1997.6,1999.97,0,0
2014-08-27,18:00:00,2000.09,2001.35,1999.57,2000.58,0,0
2014-08-27,19:00:00,2000.54,2000.77,1998.87,2000.25,0,0
2014-08-27,20:00:00,2000.27,2000.29,1999.72,1999.9,0,0
2014-08-27,21:00:00,1999.93,2000.27,1996.8,1996.8,0,0
2014-08-27,22:00:00,1996.77,2000.12,1996.2,2000.12,0,0
2014-08-28,16:00:00,1997.42,1997.42,1990.52,1994.51,0,0
2014-08-28,17:00:00,1994.59,1996.01,1991.74,1995.72,0,0
2014-08-28,18:00:00,1995.85,1996.53,1994.67,1995.91,0,0
2014-08-28,19:00:00,1995.94,1998.5,1995.63,1998.06,0,0
2014-08-28,20:00:00,1998.11,1998.55,1997.15,1998.12,0,0
2014-08-28,21:00:00,1998.14,1998.39,1996.99,1997,0,0
2014-08-28,22:00:00,1997.01,1998.25,1995.96,1996.74,0,0
2014-08-29,16:00:00,1998.45,2001.35,1996.34,1997.74,0,0
2014-08-29,17:00:00,1997.78,1998.53,1994.65,1998.51,0,0
2014-08-29,18:00:00,1998.73,2002.66,1998.73,2002.45,0,0
2014-08-29,19:00:00,2002.48,2003.17,2000.28,2001.26,0,0
2014-08-29,20:00:00,2001.25,2001.41,1999.78,2000.19,0,0
2014-08-29,21:00:00,2000.2,2000.9,1999.47,2000.07,0,0
2014-08-29,22:00:00,2000.04,2003.38,1999.21,2003.37,0,0
2014-09-02,16:00:00,2004.07,2005.95,2001.32,2002.61,0,0
2014-09-02,17:00:00,2002.92,2005.32,2001.15,2005.32,0,0
2014-09-02,18:00:00,2005.38,2005.73,1998.57,1998.77,0,0
2014-09-02,19:00:00,1998.75,2000.5,1995.82,1996,0,0
2014-09-02,20:00:00,1995.85,1997.35,1994.85,1997.18,0,0
2014-09-02,21:00:00,1997.17,2000.66,1996.96,2000.28,0,0
2014-09-02,22:00:00,2000.25,2002.34,1999.21,2002.28,0,0
2014-09-03,16:00:00,2003.57,2009.28,2003.57,2006.95,0,0
2014-09-03,17:00:00,2007.04,2007.94,2004.63,2005.94,0,0
