Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-08-12,16:00:00,16569.98,16581.86,16527.63,16573.13,0,0
2014-08-12,17:00:00,16573.64,16588.99,16543.56,16552.16,0,0
2014-08-12,18:00:00,16551.74,16551.84,16518.16,16533.58,0,0
2014-08-12,19:00:00,16533.3,16571.01,16520.31,16560.83,0,0
2014-08-12,20:00:00,16560.95,16573.09,16543.33,16550.79,0,0
2014-08-12,21:00:00,16551.4,16552.23,16518.95,16538.1,0,0
2014-08-12,22:00:00,16537.65,16574.8,16536.65,16560.54,0,0
2014-08-13,16:00:00,16560.54,16628.91,16559.71,16588.58,0,0
2014-08-13,17:00:00,16587.93,16612.36,16582.81,16611.78,0,0
2014-08-13,18:00:00,16612.93,16670.1,16612.93,16652.86,0,0
2014-08-13,19:00:00,16652.86,16656.29,16640.21,16653.87,0,0
2014-08-13,20:00:00,16653.67,16657.87,16644.67,16651.67,0,0
2014-08-13,21:00:00,16651.67,16651.67,16633.75,16644,0,0
2014-08-13,22:00:00,16644.03,16654.85,16637.92,16651.8,0,0
2014-08-14,16:00:00,16651.8,16680.54,16646.6,16669.63,0,0
2014-08-14,17:00:00,16669.86,16684.44,16651.67,16670.74,0,0
2014-08-14,18:00:00,16670.81,16694.76,16670.01,16694.76,0,0
2014-08-14,19:00:00,16694.95,16699.16,16687.32,16692.96,0,0
2014-08-14,20:00:00,16693,16708.12,16687.57,16693.9,0,0
2014-08-14,21:00:00,16694.06,16704.58,16689.64,16700.63,0,0
2014-08-14,22:00:00,16700.86,16714.22,16700.64,16713.58,0,0
2014-08-15,16:00:00,16713.58,16761.24,16713.58,16761.24,0,0
2014-08-15,17:00:00,16761.72,16775.05,16621.81,16663.16,0,0
2014-08-15,18:00:00,16663.16,16688.53,16575.52,16601.19,0,0
2014-08-15,19:00:00,16601.26,16644.45,16587.55,16626.77,0,0
2014-08-15,20:00:00,16626.34,16639.39,16601.07,16607.01,0,0
2014-08-15,21:00:00,16605.91,16670.16,16605.91,16654.79,0,0
2014-08-15,22:00:00,16654.97,16677.87,16644.74,16662.91,0,0
2014-08-18,16:00:00,16662.91,16793.93,16662.91,16793.93,0,0
2014-08-18,17:00:00,16794.01,16825.45,16787.53,16821.05,0,0
2014-08-18,18:00:00,16821.37,16827.92,16813.27,16823.73,0,0
2014-08-18,19:00:00,16823.67,16840.16,16823.43,16834.09,0,0
2014-08-18,20:00:00,16834,16836.3,16823.22,16831.68,0,0
2014-08-18,21:00:00,16831.65,16834.02,16822.3,16830.45,0,0
2014-08-18,22:00:00,16830.39,16838.74,16818.2,16838.74,0,0
2014-08-19,16:00:00,16838.74,16892.49,16838.74,16891.36,0,0
2014-08-19,17:00:00,16890.52,16909.21,16880.95,16907.26,0,0
2014-08-19,18:00:00,16907.69,16910.2,16896.14,16906.46,0,0
2014-08-19,19:00:00,16906.59,16918.21,16902.71,16915.31,0,0
2014-08-19,20:00:00,16915.68,16920.83,16910.09,16913.73,0,0
2014-08-19,21:00:00,16913.51,16928.79,16912.96,16923.6,0,0
2014-08-19,22:00:00,16925.7,16929.07,16913.78,16919.59,0,0
2014-08-20,16:00:00,16919.59,16924.35,16898.31,16916.83,0,0
2014-08-20,17:00:00,16917.3,16948.85,16914.49,16944.77,0,0
2014-08-20,18:00:00,16945.67,16957.34,16942.36,16951.67,0,0
2014-08-20,19:00:00,16951.51,16953.79,16946.97,16950.52,0,0
2014-08-20,20:00:00,16951.16,16969.24,16948.85,16958,0,0
2014-08-20,21:00:00,16958.22,16981.34,16921.64,16980.91,0,0
2014-08-20,22:00:00,16980.82,16994.83,16977.42,16979.13,0,0
2014-08-21,16:00:00,16979.13,17028.81,16976.94,17025.94,0,0
